N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
11,0.003,0.33,2,30812,8639,0.04924050020053983
11,0.003,0.33,3,30812,8639,0.03539410000666976
11,0.003,0.33,4,30812,8639,0.04887319984845817
11,0.005,0.2,0,30348,8639,0.04064009990543127
11,0.005,0.2,1,30348,8639,0.04159709997475147
11,0.005,0.2,2,30348,8639,0.0328924001660198
11,0.005,0.2,3,30348,8639,0.033980300184339285
11,0.005,0.2,4,30348,8639,0.04151920019648969
11,0.005,0.25,0,30423,8697,0.0286958001088351
11,0.005,0.25,1,30423,8697,0.02974610007368028
11,0.005,0.25,2,30423,8697,0.0360422998201102
11,0.005,0.25,3,30423,8697,0.030156400054693222
11,0.005,0.25,4,30423,8697,0.03363419999368489
11,0.005,0.29,0,30306,8639,0.04328770004212856
11,0.005,0.29,1,30306,8639,0.04267750005237758
11,0.005,0.29,2,30306,8639,0.03468709997832775
11,0.005,0.29,3,30306,8639,0.04626480001024902
11,0.005,0.29,4,30306,8639,0.04153379984200001
11,0.005,0.33,0,30812,8639,0.04686450003646314
11,0.005,0.33,1,30812,8639,0.035382800037041306
11,0.005,0.33,2,30812,8639,0.03265009983442724
11,0.005,0.33,3,30812,8639,0.039801300037652254
11,0.005,0.33,4,30812,8639,0.04385450016707182
11,0.01,0.2,0,30348,8639,0.027958099963143468
11,0.01,0.2,1,30348,8639,0.033039100002497435
11,0.01,0.2,2,30348,8639,0.03371679992415011
11,0.01,0.2,3,30348,8639,0.03347839997150004
11,0.01,0.2,4,30348,8639,0.04325399990193546
11,0.01,0.25,0,30423,8697,0.03406219999305904
11,0.01,0.25,1,30423,8697,0.04085149988532066
11,0.01,0.25,2,30423,8697,0.04545690002851188
11,0.01,0.25,3,30423,8697,0.025583500042557716
11,0.01,0.25,4,30423,8697,0.025160199962556362
11,0.01,0.29,0,30306,8639,0.05579969985410571
11,0.01,0.29,1,30306,8639,0.031875599874183536
11,0.01,0.29,2,30306,8639,0.042172799818217754
11,0.01,0.29,3,30306,8639,0.05030809994786978
11,0.01,0.29,4,30306,8639,0.042439499869942665
11,0.01,0.33,0,30812,8639,0.03249150002375245
11,0.01,0.33,1,30812,8639,0.03656540019437671
11,0.01,0.33,2,30812,8639,0.04669460002332926
11,0.01,0.33,3,30812,8639,0.03263439983129501
11,0.01,0.33,4,30812,8639,0.04202379984781146
13,0.002,0.2,0,32586,8786,0.029360400047153234
13,0.002,0.2,1,32586,8786,0.04999990016222
13,0.002,0.2,2,32586,8786,0.04280519997701049
13,0.002,0.2,3,32586,8786,0.03396600019186735
13,0.002,0.2,4,32586,8786,0.03980419994331896
13,0.002,0.25,0,31117,8622,0.03773019998334348
13,0.002,0.25,1,31117,8622,0.033053999999538064
13,0.002,0.25,2,31117,8622,0.023185100173577666
13,0.002,0.25,3,31117,8622,0.048201599856838584
13,0.002,0.25,4,31117,8622,0.03785490011796355
13,0.002,0.29,0,30020,8619,0.06115489988587797
13,0.002,0.29,1,30020,8619,0.06146420002914965
13,0.002,0.29,2,30020,8619,0.06767769996076822
13,0.002,0.29,3,30020,8619,0.05495779984630644
13,0.002,0.29,4,30020,8619,0.06301959999836981
13,0.002,0.33,0,30221,9088,0.021274100057780743
13,0.002,0.33,1,30221,9088,0.02937750006094575
13,0.002,0.33,2,30221,9088,0.02701730001717806
13,0.002,0.33,3,30221,9088,0.035724799847230315
13,0.002,0.33,4,30221,9088,0.037330100079998374
13,0.003,0.2,0,32586,8786,0.04662799998186529
13,0.003,0.2,1,32586,8786,0.03755849995650351
13,0.003,0.2,2,32586,8786,0.04691469995304942
13,0.003,0.2,3,32586,8786,0.036374600138515234
13,0.003,0.2,4,32586,8786,0.031126199988648295
13,0.003,0.25,0,31117,8622,0.03985700011253357
13,0.003,0.25,1,31117,8622,0.039861599914729595
13,0.003,0.25,2,31117,8622,0.04036869993433356
13,0.003,0.25,3,31117,8622,0.028865400003269315
13,0.003,0.25,4,31117,8622,0.03222120017744601
13,0.003,0.29,0,30020,8619,0.05674949986860156
13,0.003,0.29,1,30020,8619,0.061601500026881695
13,0.003,0.29,2,30020,8619,0.048812299966812134
13,0.003,0.29,3,30020,8619,0.04553649993613362
13,0.003,0.29,4,30020,8619,0.04561739997006953
13,0.003,0.33,0,30221,9088,0.042499800212681293
13,0.003,0.33,1,30221,9088,0.040150600019842386
13,0.003,0.33,2,30221,9088,0.040380300022661686
13,0.003,0.33,3,30221,9088,0.03192820004187524
13,0.003,0.33,4,30221,9088,0.028094599954783916
13,0.005,0.2,0,32586,8786,0.036843499867245555
13,0.005,0.2,1,32586,8786,0.052874699933454394
13,0.005,0.2,2,32586,8786,0.0401573998387903
13,0.005,0.2,3,32586,8786,0.054080099798738956
13,0.005,0.2,4,32586,8786,0.0503160001244396
13,0.005,0.25,0,31117,8622,0.039030800107866526
13,0.005,0.25,1,31117,8622,0.04340759990736842
13,0.005,0.25,2,31117,8622,0.032888400135561824
13,0.005,0.25,3,31117,8622,0.04675760003738105
13,0.005,0.25,4,31117,8622,0.033671499928459525
13,0.005,0.29,0,30020,8619,0.0660036001354456
13,0.005,0.29,1,30020,8619,0.05507569992914796
13,0.005,0.29,2,30020,8619,0.05657340004108846
13,0.005,0.29,3,30020,8619,0.04414379992522299
13,0.005,0.29,4,30020,8619,0.05439049983397126
13,0.005,0.33,0,30221,9088,0.03304539993405342
13,0.005,0.33,1,30221,9088,0.0293353998567909
13,0.005,0.33,2,30221,9088,0.03493770002387464
13,0.005,0.33,3,30221,9088,0.04341339995153248
13,0.005,0.33,4,30221,9088,0.04228980001062155
13,0.01,0.2,0,32586,8786,0.03999940003268421
13,0.01,0.2,1,32586,8786,0.04376660007983446
13,0.01,0.2,2,32586,8786,0.05164920003153384
13,0.01,0.2,3,32586,8786,0.051264300011098385
13,0.01,0.2,4,32586,8786,0.030298400204628706
13,0.01,0.25,0,31117,8622,0.032714900095015764
13,0.01,0.25,1,31117,8622,0.0410672000143677
13,0.01,0.25,2,31117,8622,0.035425599897280335
13,0.01,0.25,3,31117,8622,0.0327763999812305
13,0.01,0.25,4,31117,8622,0.03902359982021153
13,0.01,0.29,0,30020,8619,0.050987400114536285
13,0.01,0.29,1,30020,8619,0.06384700001217425
13,0.01,0.29,2,30020,8619,0.06874630018137395
13,0.01,0.29,3,30020,8619,0.06205440009944141
13,0.01,0.29,4,30020,8619,0.05271580000407994
13,0.01,0.33,0,30221,9088,0.03223649994470179
13,0.01,0.33,1,30221,9088,0.0428930998314172
13,0.01,0.33,2,30221,9088,0.026478799991309643
13,0.01,0.33,3,30221,9088,0.02737569995224476
13,0.01,0.33,4,30221,9088,0.036895599914714694
