N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
11,0.005,0.31,6,30356,8639,0.038005700102075934
11,0.005,0.31,7,30356,8639,0.03789050015620887
11,0.005,0.31,8,30356,8639,0.04122400004416704
11,0.005,0.31,9,30356,8639,0.04337760014459491
11,0.005,0.32,0,30356,8639,0.05069879977963865
11,0.005,0.32,1,30356,8639,0.05254499986767769
11,0.005,0.32,2,30356,8639,0.04456840013153851
11,0.005,0.32,3,30356,8639,0.05203410005196929
11,0.005,0.32,4,30356,8639,0.05510040000081062
11,0.005,0.32,5,30356,8639,0.05734260007739067
11,0.005,0.32,6,30356,8639,0.06069090007804334
11,0.005,0.32,7,30356,8639,0.16206509992480278
11,0.005,0.32,8,30356,8639,0.09387620002962649
11,0.005,0.32,9,30356,8639,0.04690960003063083
11,0.005,0.33,0,30812,8639,0.04012439982034266
11,0.005,0.33,1,30812,8639,0.04277890012599528
11,0.005,0.33,2,30812,8639,0.04950500000268221
11,0.005,0.33,3,30812,8639,0.034966399893164635
11,0.005,0.33,4,30812,8639,0.04090290004387498
11,0.005,0.33,5,30812,8639,0.0502142000477761
11,0.005,0.33,6,30812,8639,0.048452400136739016
11,0.005,0.33,7,30812,8639,0.0603385001886636
11,0.005,0.33,8,30812,8639,0.051564899971708655
11,0.005,0.33,9,30812,8639,0.03820740012452006
11,0.005,0.34,0,30812,8639,0.049078599782660604
11,0.005,0.34,1,30812,8639,0.10819249995984137
11,0.005,0.34,2,30812,8639,0.07825740007683635
11,0.005,0.34,3,30812,8639,0.06314939982257783
11,0.005,0.34,4,30812,8639,0.039703099988400936
11,0.005,0.34,5,30812,8639,0.03852089983411133
11,0.005,0.34,6,30812,8639,0.034211500082165
11,0.005,0.34,7,30812,8639,0.05190389999188483
11,0.005,0.34,8,30812,8639,0.05468160007148981
11,0.005,0.34,9,30812,8639,0.04684850014746189
11,0.005,0.35,0,31135,9009,0.03547150013037026
11,0.005,0.35,1,31135,9009,0.03257309994660318
11,0.005,0.35,2,31135,9009,0.03540579997934401
11,0.005,0.35,3,31135,9009,0.029303800081834197
11,0.005,0.35,4,31135,9009,0.02969709993340075
11,0.005,0.35,5,31135,9009,0.046658600214868784
11,0.005,0.35,6,31135,9009,0.030030200025066733
11,0.005,0.35,7,31135,9009,0.05066189984790981
11,0.005,0.35,8,31135,9009,0.04243820020928979
11,0.005,0.35,9,31135,9009,0.022587799932807684
